X,Y
174,70
166,57
161,55
172,60
166,57
169,62
168,70
167,65
178,80
165,68
175,64
165,55
172,78
173,65
167,63
163,67
173,71
164,68
170,68
164,60
170,63
180,73
176,81
173,74
168,66
161,55
164,62
167,61
176,77
165,55
166,61
175,66
164,57
171,65
174,79
167,71
169,59
162,52
169,68
173,66
172,66
164,60
170,63
167,65
166,55
156,54
166,55
156,54
169,57
165,55
172,78
178,60
170,63
167,61
166,62
163,60
157,69
173,66
176,65
167,62
168,64
172,70
168,70
177,70
163,68
169,66
173,77
178,71
171,64
161,51
162,65
167,63
174,68
167,65
169,61
176,70
170,67
168,65
172,59
164,60
178,80
172,73
171,65
167,52
170,61
170,63
167,57
171,63
168,58
173,63
173,72
170,65
172,70
162,56
171,63
173,69
156,54
168,70
176,70
164,57
